Restaurant,Location,Rating,Votes,Cost for 2,Opening Hours,Closing Hours,Cuisines,Highlights,Featured in,Known for,Favourite Food,Favourite Service,Favourite Look,Recommended Dishes,Cuisines Colours
Ovenstory Pizza,Banashankari,3.1,511,700,['11 AM'],['11 PM'],Pizza,"['Delivery Only', 'Seating Not Available']",[],[],[],[],[],[],12
Beijing Bites,Banashankari,2.4,559,600,"['12 No', '7 PM']","['330 PM', '11 PM']","Chinese, Thai",['Home Delivery'],[],[],"['BasilChicken', 'ManchowSoup']",[],[],[],"1, 22"
,Banashankari,NA,Not enough,NA,NA,NA,,[],[],[],[],[],[],[],
Sri Venkateshwara Sweetmeat Stall,Banashankari,3.4,517,300,['9 AM'],['9 PM'],"Mithai, Street Food","['Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[],"17, 9"
Corner House Ice Cream,Banashankari,3.9,579,250,['11 AM'],['11 PM'],"Ice Cream, Desserts","['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],"['HotChocolateFudge', 'CakeFudge', 'BrownieFudgeSundae']",[],[],[],"14, 5"
Spice Elephant,Banashankari,4,585,800,"['12 No', '7 PM']","['330 PM', '11 PM']","Chinese, North Indian, Thai",[],[],[],"['ChocolateNirvana', 'Kulcha']",['CourteousStaff'],['Decor'],[],"1, 0, 22"
Srinathji's Cafe,Banashankari,3.3,5108,400,['10 AM'],['10 PM'],"North Indian, Chinese, Pizza, Fast Food, Street Food, Cafe","['Home Delivery', 'Vegetarian Only', 'Outdoor Seating']",[],[],"['PunjabiSamosa', 'ChilliIdli', 'CholeBhature', 'WheatParatha']",[],[],[],"0, 1, 12, 3, 9, 7"
Blue Wings Bar & Restaurant,Banashankari,3.4,522,700,['11 AM'],['11 PM'],"North Indian, Chinese","['Full Bar Available', 'Nightlife']",[],[],[],[],[],[],"0, 1"
Aha Ami Ruchi,Banashankari,3.2,519,800,['730 AM'],['1045 PM'],"Andhra, North Indian, Mughlai",['Home Delivery'],[],[],[],[],[],[],"11, 0, 18"
Utsav,Banashankari,3.6,540,200,"['12 No', '7 PM']","['330 PM', '1030 PM']","North Indian, Street Food","['Home Delivery', 'Vegetarian Only']",[],[],"['Samosa', 'Lassi', 'Jalebi', 'Kachori']",[],[],[],"0, 9"
Stop 'N' Joy,Banashankari,NA,Not enough,150,['9 AM'],['10 PM'],Fast Food,['Breakfast'],[],[],[],[],[],[],3
Rolls Corner,Banashankari,3.1,513,150,['5 PM'],['10 PM'],Fast Food,['Outdoor Seating'],[],[],[],[],[],[],3
Chai Mane,Banashankari,3.1,54,100,['7 AM'],['1030 PM'],"Juices, Burger, Ice Cream","['Breakfast', 'Home Delivery', 'Seating Not Available', 'Vegetarian Only']",[],[],[],[],[],[],"21, 25, 14"
