Restaurant,Location,Rating,Votes,Cost for 2,Opening Hours,Closing Hours,Cuisines,Highlights,Featured in,Known for,Favourite Food,Favourite Service,Favourite Look,Recommended Dishes,Cuisines Colours
Aishwarya,Whitefield,NA,Not enough,350,['1130 AM'],['11 PM'],"Chinese, South Indian","['BYOB Only', 'Outdoor SeatingSmoking Area']",[],[],[],[],[],[],"1, 2"
Golden Fork,Whitefield,2.6,534,750,"['12 No', '7 PM']","['3 PM', '1030 PM']",Chinese,['Home Delivery'],[],[],['ChilliChicken'],[],[],[],1
Kapoor's Punjabi Rolls,Whitefield,3.1,513,250,['3 PM'],['11 PM'],North Indian,"['Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[],0
Whitefield Baking Company - Bengaluru Marriott Hotel...,Whitefield,3.5,542,400,['8 AM'],['10 PM'],"Bakery, Cafe","['Breakfast', 'Wheelchair Accessible', 'Desserts and BakesWifi']",[],[],[],[],[],[],"8, 7"
The Kim Chi Chef,Whitefield,NA,Not enough,500,"['12 No', '630 PM']","['330 PM', '11 PM']",Chinese,"['Home Delivery', 'Seating Not Available']",[],[],[],[],[],[],1
Veg Dabba,Whitefield,3.1,58,200,"['11 AM', '7 PM']","['230 PM', '9 PM']",North Indian,"['Home Delivery', 'Seating Not Available', 'Vegetarian Only', 'Variable Menu']",[],[],[],[],[],[],0
Box8,Whitefield,3.6,513,500,['11 AM'],['1 AM'],"North Indian, Biryani, Fast Food, Salad, Ice Cream","['Home Delivery', 'Seating Not Available']",[],"['Indianmeals-All-in-1meals', 'FusionBox', 'Biryani', 'Wraps']",[],[],[],[],"0, 4, 3, 30, 14"
Spice Of Andhra,Whitefield,NA,Not enough,200,['12 No'],['4 AM'],Andhra,"['Home Delivery', 'Seating Not Available']",[],[],[],[],[],[],11
Naadan's Restaurant,Whitefield,NA,Not enough,400,['12 No'],['11 PM'],"Chinese, Kerala",['Home Delivery'],[],[],[],[],[],[],"1, 16"
Papa John's Pizza,Whitefield,2.5,540,750,['11 AM'],['11 PM'],Pizza,['Home Delivery'],[],[],['ThinCrustPizza'],[],[],[],12
Izakaya Gastro Pub,Whitefield,3.6,526,1200,['11 AM'],['11 PM'],"North Indian, Continental, Mediterranean","['Wheelchair Accessible', 'Full Bar Available', 'Smoking AreaNightlife']",[],[],[],[],[],[],"0, 6, 27"
McDonald's,Whitefield,2.7,588,500,['9 AM'],['11 PM'],Fast Food,"['Breakfast', 'Wifi']",[],[],[],[],[],[],3
Calcutta North Indian Meals,Whitefield,NA,Not enough,200,['11 AM'],['11 PM'],North Indian,[],[],[],[],[],[],[],0
KFC,Whitefield,2.7,5125,400,['11 AM'],['11 PM'],"American, Fast Food",['Home Delivery'],[],[],[],[],[],[],"13, 3"
Punjabi By Nature Express,Whitefield,2.3,5180,500,['11 AM'],['1030 PM'],"North Indian, Mughlai, Street Food",['Outdoor Seating'],[],[],"['DalMakhani', 'GulabJamun', 'CholeBhature', 'Beer', 'DahiKeKebab', 'ChickenCurry']",[],[],[],"0, 18, 9"
Megha's Lunch-Box,Whitefield,3.2,513,400,['12 No'],['3 PM'],North Indian,['Vegetarian Only'],[],[],[],[],[],[],0
Chinese Street,Whitefield,2.5,567,550,['1130 AM'],['10 PM'],Chinese,"['Home Delivery', 'Wifi']",[],[],"['FriedRice', 'ChopSuey']",[],[],[],1
Delhi Kitchen,Whitefield,3.2,516,300,"['1130 AM', '7 PM']","['330 PM', '1030 PM']","North Indian, South Indian",[],[],[],[],[],[],[],"0, 2"
Biryani Bowl,Whitefield,3,57,550,['11 AM'],['11 PM'],"Biryani, Andhra","['Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[],"4, 11"
De Hangout Kafe,Whitefield,NA,Not enough,500,['10 AM'],['10 PM'],"Cafe, Bakery, Ice Cream","['Home Delivery', 'Desserts and BakesWallet Accepted']",[],[],[],[],[],[],"7, 8, 14"
Nuts Over Salads,Whitefield,3.2,56,300,['11 AM'],['11 PM'],"Salad, Italian, Healthy Food",['Home Delivery'],[],[],[],[],[],[],"30, 10, 24"
Chikpet Donne Biriyani House,Whitefield,NA,Not enough,300,['11 AM'],['11 PM'],Biryani,[],[],[],[],[],[],[],4
Tiffin Room - Holiday Inn & Suites,Whitefield,3.5,5113,2000,['24 Ho'],[],"North Indian, South Indian, Asian","['Breakfast', 'Wheelchair Accessible', 'Full Bar Available', 'Outdoor SeatingWifi']",[],[],"['Breakfast', 'DimSum', 'LunchBuffet', 'Pancakes']",[],[],[],"0, 2, 23"
Sbarro,Whitefield,3.2,557,650,['11 AM'],['11 PM'],"Pizza, Italian, Fast Food",['WifiOutdoor Seating'],[],[],"['ChickenKeemaPizza', 'CheesePizza', 'PennePasta', 'SupremePizza']",[],[],[],"12, 10, 3"
Gali Parathae Wali,Whitefield,3.4,553,400,"['1130 AM', '730 PM']","['330 PM', '1030 PM']","North Indian, Chinese","['Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[],"0, 1"
Kitchen Online,Whitefield,NA,Not enough,300,"['1130 AM', '6 PM']","['3 PM', '1030 PM']",North Indian,"['Home Delivery', 'Seating Not Available']",[],[],[],[],[],[],0
A1 Ambur Dum Biryani,Whitefield,NA,Not enough,150,['11 AM'],['11 PM'],Biryani,[],[],[],[],[],[],[],4
Flavours of China,Whitefield,2.2,529,600,['11 AM'],['11 PM'],Chinese,[],[],[],['FriedRice'],[],[],[],1
Ibaco,Whitefield,3.7,575,150,['11 AM'],['11 PM'],"Ice Cream, Desserts","['Vegetarian Only', 'Outdoor SeatingDesserts and Bakes']",[],[],[],[],[],[],"14, 5"
Kapoor's Cafe,Whitefield,4,5284,600,"['11 AM', '7 PM']","['3 PM', '11 PM']",North Indian,"['Home Delivery', 'Vegetarian Only']",[],[],"['Lassi', 'ButterPhulkas', 'PaneerPakoda', 'CheeseParatha', 'StuffedParatha', 'FruitCream']","['ServiceCourteousStaff', 'FriendlyStaff']",[],[],0
Pizza Hut Delivery,Whitefield,3.8,5279,600,['11 AM'],['11 PM'],"Pizza, Fast Food",['Home Delivery'],[],[],"['PaneerPizza', 'PepperoniPizza']","['ServiceFriendlyStaff', 'FriendlyService']",[],[],"12, 3"
Ambur Dum Biriyani & Parota Centre,Whitefield,NA,Not enough,300,['12 No'],['12 Mi'],Biryani,['Serves Halal'],[],[],[],[],[],[],4
Citrus Cafe - Lemon Tree Hotel,Whitefield,3.6,562,1900,['24 Ho'],[],"North Indian, Continental, South Indian, Asian","['Breakfast', 'Wheelchair Accessible', 'Full Bar Available', 'Outdoor SeatingSmoking AreaWifiValet Parking AvailableBuffet']",[],[],[],[],[],[],"0, 6, 2, 23"
Kabab Mandra,Whitefield,2.4,5107,350,['1230 PM'],['1130 PM'],"North Indian, Chinese",['Home Delivery'],[],[],"['ShawarmaRoll', 'GrillChicken', 'GrilledChicken', 'GrapeJuice', 'TandooriNaan', 'ChickenShawarama']",[],[],[],"0, 1"
Kettle & Kegs,Whitefield,NA,Not enough,200,['9 AM'],['11 PM'],Tea,"['Delivery Only', 'Seating Not Available']",[],[],[],[],[],[],38
Dot.yum - Aloft Hotel,Whitefield,3.4,5161,2000,['7 AM'],['1130 PM'],"Italian, North Indian, Continental","['Breakfast', 'Full Bar Available', '4/5 StarOutdoor SeatingWifi']",[],[],"['BreakfastBuffet', 'LunchBuffet']",[],[],[],"10, 0, 6"
Sri Verrabadra Andhra Mess,Whitefield,NA,Not enough,400,"['12 No', '630 PM']","['4 PM', '11 PM']",Andhra,['Home Delivery'],[],[],[],[],[],[],11
A2B Veg,Whitefield,2.3,5253,350,['7 AM'],['11 PM'],"South Indian, North Indian, Street Food","['Breakfast', 'Home Delivery', 'Vegetarian Only']",[],[],"['MeduVada', 'MasalaDosa', 'BadamMilk', 'FilterCoffee', 'Pongal', 'SambharVada']",[],[],[],"2, 0, 9"
Vaigai Express,Whitefield,NA,Not enough,400,['1130 AM'],['1030 PM'],South Indian,"['Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[],2
BookMeCook,Whitefield,3.4,518,500,['9 AM'],['9 PM'],North Indian,"['Breakfast', 'Home Delivery', 'Seating Not Available', 'Subscription Available']",[],[],[],[],[],[],0
ReadyBowl,Whitefield,3.3,58,400,['11 AM'],['10 PM'],"Andhra, South Indian, North Indian, Biryani","['Delivery Only', 'Seating Not Available']",[],[],[],[],[],[],"11, 2, 0, 4"
Linx - Premier Inn Hotel,Whitefield,3,547,900,"['630 AM', '12 No', '7 PM']","['1030 AM', '330 PM', '1030 PM']","North Indian, South Indian, Thai, Chinese, Continental","['Wheelchair Accessible', 'Full Bar Available', 'Valet Parking AvailableBuffetOutdoor Seating']",[],[],[],[],[],[],"0, 2, 22, 1, 6"
Whitefield Social,Whitefield,3.8,51271,1500,['1030 AM'],['1230 AM'],"Continental, American","['Breakfast', 'Home Delivery', 'Full Bar Available', 'NightlifeOutdoor SeatingWifiSmoking Area']",['Best bars & pubs'],[],"['Lassi', 'HoneyChilliFries', 'ChilliChicken', 'ChickenNachos', 'Breakfast', 'Samosa']","['ServiceCourteousStaff', 'FriendlyStaff']","['Look&FeelComfortableSeating', 'Dj']",[],"6, 13"
Chai Point,Whitefield,3.2,515,150,['11 AM'],['11 PM'],"Cafe, Fast Food",['Wifi'],[],"['Highquality', 'Indianstyle']",[],[],[],[],"7, 3"
Aaho Cuisine,Whitefield,NA,Not enough,300,['12 No'],['11 PM'],"Biryani, Fast Food, North Indian",['Home Delivery'],[],[],[],[],[],[],"4, 3, 0"
Mavalli Tiffin Room (MTR),Whitefield,2.7,5366,250,['1030 AM'],['10 PM'],South Indian,"['Breakfast', 'Vegetarian Only', 'Outdoor Seating']",[],[],"['FilterCoffee', 'SetDosa', 'Rasmalai', 'Buttermilk', 'MaddurVada', 'RavaDosa']",[],['Look&FeelDecor'],[],2
Purnabramha Maharashtrian Restaurant,Whitefield,2.9,58,850,['11 AM'],['10 PM'],Maharashtrian,[],[],[],[],[],[],[],37
Punjabi Kitchen,Whitefield,2.8,541,400,"['11 AM', '7 PM']","['4 PM', '11 PM']",North Indian,['Home Delivery'],[],[],[],[],[],[],0
Rawat Food Paradise,Whitefield,NA,Not enough,300,['11 AM'],['11 PM'],"North Indian, Chinese",['Home Delivery'],[],[],[],[],[],[],"0, 1"
Southern Spice,Whitefield,2.5,5296,800,"['12 No', '6 PM']","['4 PM', '11 PM']","North Indian, Chinese, Biryani, Andhra",['Home Delivery'],[],[],"['GunturChicken', 'AndhraMeal', 'GingerPrawn', 'ChickenTikkaMasala', 'ChickenBiryani', 'DumBiryani']",[],[],[],"0, 1, 4, 11"
Nethra Hotel,Whitefield,NA,Not enough,300,['8 AM'],['10 PM'],"North Indian, South Indian",[],[],[],[],[],[],[],"0, 2"
Shizusan Shophouse & Bar,Whitefield,NA,Not enough,1800,['12 No'],['12 Mi'],"Asian, Japanese, Vietnamese, Korean, Chinese, Thai","['Full Bar Available', 'Outdoor Seating']",[],[],[],[],[],[],"23, 34, 43, 49, 1, 22"
Wok n Tava,Whitefield,2.7,519,500,['11 AM'],['11 PM'],"North Indian, Chinese","['Home Delivery', 'Seating Not Available', 'Serves Non Veg']",[],[],[],[],[],[],"0, 1"
Kakaji,Whitefield,3.2,5150,350,"['1130 AM', '7 PM']","['4 PM', '11 PM']",North Indian,"['Home Delivery', 'Vegetarian Only']",[],[],"['Lassi', 'CholeBhature', 'DalMakhani', 'DalTadka', 'PaneerButterMasala']",['ServiceCourteousStaff'],[],[],0
Spoon Me,Whitefield,3.2,58,400,['11 AM'],['11 PM'],"Bengali, North Indian, Chinese","['Delivery Only', 'Seating Not Available']",[],[],[],[],[],[],"29, 0, 1"
WOW! Momo,Whitefield,NA,Not enough,400,['11 AM'],['11 PM'],Tibetan,"['Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[],36
Domino's Pizza,Whitefield,2.5,558,750,['11 AM'],['11 PM'],Pizza,['Home Delivery'],[],[],[],[],[],[],12
D Indian Chat House,Whitefield,2.7,523,200,['11 AM'],['10 PM'],Street Food,['Vegetarian Only'],[],[],[],[],[],[],9
Terracotta - Vivanta By Taj,Whitefield,3.7,5213,2800,"['1230 PM', '7 PM']","['3 PM', '11 PM']","Afghani, North Indian, Lucknowi","['Wheelchair Accessible', 'Full Bar Available', 'Valet Parking AvailableSmoking AreaOutdoor SeatingLuxury Dining']",[],[],"['GalautiKebab', 'PistachioBaklava', 'Rasgulla', 'DumBiryani', 'RomanticCandleLightDinner', 'GarlicKheer']",[],[],[],"48, 0, 57"
Chaai Restro,Whitefield,NA,Not enough,300,['11 AM'],['11 PM'],Cafe,['Home Delivery'],[],[],[],[],[],[],7
Mamaji,Whitefield,NA,Not enough,500,"['12 No', '7 PM']","['4 PM', '1030 PM']","North Indian, Chinese","['Home Delivery', 'Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[],"0, 1"
Chez Mariannick,Whitefield,3.7,5315,1000,"['1245 PM', '645 PM']","['4 PM', '10 PM']","Bakery, Pizza, French, Continental",['Outdoor SeatingWallet Accepted'],[],[],"['BananaToffeeCheesecake', 'CaramelCustard', 'Crepe', 'CremeBrulee', 'Croissant', 'StrawberryTart']",[],['Look&FeelOutdoorSeating'],[],"8, 12, 42, 6"
Dunkin' Donuts,Whitefield,3.8,5222,550,['9 AM'],['11 PM'],"Cafe, Fast Food, Desserts, Burger","['Breakfast', 'Desserts and Bakes']",[],[],"['ChocolateEclair', 'ChickenBurger', 'BangaloreStartupCoffee', 'HotChocolate', 'ChocolateDonut', 'VegBurger']",[],['Look&FeelDecor'],"['CrunchyJoeBurger', 'NaughtyLucyBurger', 'BreakUpPartyEclairs', 'DeathByChocolate', 'ToughGuyBurger']","7, 3, 5, 25"
Drool,Whitefield,3,56,250,"['12 No', '530 PM']","['4 PM', '10 PM']","North Indian, Chinese, South Indian","['Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[],"0, 1, 2"
High n Hungry,Whitefield,2.5,59,700,['7 PM'],['4 AM'],"North Indian, South Indian, Chinese, Fast Food","['Delivery Only', 'Seating Not Available']",[],[],[],[],[],[],"0, 2, 1, 3"
Whooppeezz,Whitefield,2.8,54,500,['11 AM'],['10 PM'],"Pizza, Italian","['Home Delivery', 'Wifi']",[],[],[],[],[],[],"12, 10"
Wetzel's Pretzels,Whitefield,2.4,574,500,['10 AM'],['10 PM'],Fast Food,['Outdoor Seating'],[],[],['HotDog'],[],[],[],3
Basmati Restaurant,Whitefield,2.8,513,350,"['12 No', '7 PM']","['4 PM', '11 PM']","North Indian, South Indian, Chinese, Biryani","['Breakfast', 'Home Delivery']",[],[],[],[],[],[],"0, 2, 1, 4"
South Treat,Whitefield,NA,Not enough,400,['1130 AM'],['1030 PM'],South Indian,['Outdoor Seating'],[],[],[],[],[],[],2
New Shalimar Hotel,Whitefield,NA,Not enough,250,['11 AM'],['11 PM'],"North Indian, Biryani",[],[],[],[],[],[],[],"0, 4"
Orchard Fresh,Whitefield,2.7,517,350,['1130 AM'],['1130 PM'],"Ice Cream, Desserts","['Home Delivery', 'Vegetarian Only', 'Desserts and BakesOutdoor Seating']",[],[],[],[],[],[],"14, 5"
Royal Biriyani,Whitefield,NA,Not enough,300,['11 AM'],['11 PM'],Biryani,['Home Delivery'],[],[],[],[],[],[],4
Udupi Garden Restaurant,Whitefield,2.8,553,300,['6 AM'],['11 PM'],"South Indian, North Indian, Desserts","['Breakfast', 'Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[],"2, 0, 5"
Star Bakery,Whitefield,NA,Not enough,300,['6 AM'],['11 PM'],Bakery,"['Takeaway Only', 'Seating Not Available', 'Desserts and Bakes']",[],[],[],[],[],[],8
Bistro Boulevard,Whitefield,3.6,522,300,['930 AM'],['1030 PM'],"Continental, Chinese",['Breakfast'],[],[],[],[],[],[],"6, 1"
Keys Cafe - Keys Hotel,Whitefield,2.9,5132,1000,"['7 AM', '12 No', '7 PM']","['10 AM', '3 PM', '11 PM']","Chinese, Continental, North Indian","['Breakfast', 'Wheelchair Accessible', 'Full Bar Available', 'BuffetWifi']",[],[],"['BreakfastBuffet', 'Pancakes', 'Halwa', 'TunaSalad', 'Muffins']",[],[],[],"1, 6, 0"
The Donut Baker,Whitefield,2.8,512,150,['11 AM'],['11 PM'],"Bakery, Desserts","['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[],"8, 5"
The Foodstreet,Whitefield,NA,Not enough,350,['1130 AM'],['1130 PM'],South Indian,"['Breakfast', 'Home Delivery']",[],[],[],[],[],[],2
Hotel Srinivas Andhra Style,Whitefield,NA,Not enough,350,"['730 AM', '1130 AM', '630 PM']","['10 AM', '4 PM', '1030 PM']",Andhra,"['Breakfast', 'Home Delivery']",[],[],[],[],[],[],11
Hotel Royal Darbar,Whitefield,2.9,56,400,['7 AM'],['1030 PM'],"North Indian, Chinese",['Breakfast'],[],[],[],[],[],[],"0, 1"
Petit Crumbs,Whitefield,NA,Not enough,300,['10 AM'],['10 PM'],"Bakery, Desserts","['Delivery Only', 'Seating Not Available', 'Desserts and BakesHome BakerPre-Ordering Required']",[],[],[],[],[],[],"8, 5"
Nandhish Upahar,Whitefield,NA,Not enough,400,['630 AM'],['930 PM'],"South Indian, Chinese",['Home Delivery'],[],[],[],[],[],[],"2, 1"
Tiffinmates,Whitefield,NA,Not enough,300,"['12 No', '730 PM']","['2 PM', '930 PM']",North Indian,"['Home Delivery', 'Seating Not Available', 'Table booking not available']",[],[],[],[],[],[],0
Golden Food Palace,Whitefield,2.8,511,450,['11 AM'],['11 PM'],"North Indian, Chinese",['Home Delivery'],[],[],[],[],[],[],"0, 1"
DinePost9,Whitefield,3.6,5275,450,['8 PM'],['330 AM'],"North Indian, Chinese, Biryani","['Delivery Only', 'Seating Not Available', 'Serves Non Veg']",[],[],"['TandooriChicken', 'ButterChicken', 'ChickenManchurian', 'ChickenBiryani', 'DalFry', 'BasmatiRice']",[],[],[],"0, 1, 4"
The Riverside Bar & Kitchen,Whitefield,3.7,5505,1000,"['12 No', '7 PM']","['330 PM', '1130 PM']","North Indian, Chinese, Continental","['Full Bar Available', 'Outdoor SeatingSmoking AreaValet Parking AvailableLive Sports Screening']",[],[],"['ChickenBiryani', 'VegPlatter', 'HaraBharaKebab', 'NeerDosa', 'CaramelCustard', 'MuttonBiryani']",['ServiceCourteousStaff'],['Look&FeelDecor'],[],"0, 1, 6"
Grill Republica,Whitefield,3.5,581,450,['1230 PM'],['1030 PM'],"North Indian, Fast Food, Burger","['Home Delivery', 'Outdoor Seating']",[],[],"['SmokedChicken', 'Fries', 'GrilledChicken', 'ChickenSupremeBurger', 'AfghaniChicken', 'SeekhKebab']",[],[],[],"0, 3, 25"
California Burrito,Whitefield,3.6,5260,300,['11 AM'],['11 PM'],"Mexican, Fast Food",['Home Delivery'],[],[],"['Nachos', 'TortillaChips', 'PinkLemonade', 'BbqChicken', 'SpicyChicken', 'BbqPaneer']",[],[],[],"32, 3"
Five Star Chicken,Whitefield,2.5,525,300,['11 AM'],['11 PM'],"Fast Food, Burger",['Home Delivery'],[],[],[],[],[],[],"3, 25"
Mission Cafe,Whitefield,3.3,544,250,['10 AM'],['10 PM'],Fast Food,"['Home Delivery', 'Vegetarian Only']",[],[],['ChanaBhature'],[],[],[],3
Whitefield Bar and Grill - Bengaluru Marriott Hotel...,Whitefield,3.8,531,2500,['5 PM'],['1 AM'],"Continental, Burger, Charcoal Grill","['Full Bar Available', 'BuffetValet Parking Available4/5 StarOutdoor SeatingLuxury Dining']",[],[],[],[],[],[],"6, 25, 61"
TherPUP - a Dog Cafe,Whitefield,4.5,5167,700,NA,NA,"Cafe, Desserts",['Outdoor Seating'],[],[],"['Fries', 'ChocolateShake', 'VanillaShake', 'WhiteSaucePasta', 'ClubSandwich', 'VegNachos']",[],[],[],"7, 5"
New Paratha Corner,Whitefield,3.4,517,350,"['1230 PM', '730 PM']","['330 PM', '1045 PM']",North Indian,['Home Delivery'],[],[],[],[],[],[],0
,Whitefield,NA,Not enough,NA,NA,NA,,[],[],[],[],[],[],[],
RICE BAR,Whitefield,NA,Not enough,500,['1030 AM'],['1030 PM'],"North Indian, Biryani","['Delivery Only', 'Seating Not Available']",[],[],[],[],[],[],"0, 4"
Shaan-E-Punjab,Whitefield,2.6,551,500,['12 No'],['10 PM'],North Indian,[],[],[],"['ButterChicken', 'Lassi', 'PaneerTikkaMasala', 'DalMakhani', 'ChickenTikkaMasala']",[],[],[],0
Tease - Vivanta By Taj,Whitefield,3.4,552,1800,['3 PM'],['1130 PM'],Finger Food,"['Wheelchair Accessible', 'Full Bar Available', 'NightlifeOutdoor SeatingSmoking AreaValet Parking Available']",[],[],[],[],[],[],19
Krishna Punjabi Restaurant,Whitefield,2.8,540,450,"['11 AM', '7 PM']","['4 PM', '12 Mi']",North Indian,['Home Delivery'],[],[],[],[],[],[],0
Smoke - The Sizzler House,Whitefield,3.1,564,800,['12 No'],['10 PM'],"Continental, North Indian, Chinese","['Home Delivery', 'Outdoor SeatingWifi']",[],[],"['Brownie', 'PotatoWedges', 'PaneerShashlik', 'BbqChickenSizzler']",[],[],[],"6, 0, 1"
Kerala Restaurant,Whitefield,2.9,519,450,['8 AM'],['11 PM'],"Kerala, Biryani","['Breakfast', 'Home Delivery']",[],[],[],[],[],[],"16, 4"
The Bungalow,Whitefield,3.6,51192,1050,"['1215 PM', '7 PM']","['330 PM', '11 PM']","Chinese, North Indian, Continental, Pizza","['Home Delivery', 'Seating Not Available', 'Serves Non Veg']",[],[],"['MangoMousse', 'DimSum', 'MuttonCurry', 'WoodFirePizza', 'SpringRoll', 'ButterChicken']",['ServiceCourteousStaff'],[],[],"1, 0, 6, 12"
Imperio Restaurant,Whitefield,3.7,584,700,['11 AM'],['12 Mi'],"North Indian, Chinese","['Home Delivery', 'Serves Non Veg', 'Valet Parking AvailableWallet Accepted']",[],[],"['MuttonBiryani', 'CrabRoast', 'PrawnBiryani', 'MangoLassi']",[],[],[],"0, 1"
Starbucks Coffee,Whitefield,3.7,5320,800,['10 AM'],['11 PM'],Cafe,"['Breakfast', 'Wifi']",[],['Dripbrewedcoffee'],"['Coffee', 'Cappuccino', 'HotChocolate', 'Muffins', 'HazelnutLatte', 'BlueberryMuffin']","['Look&FeelDecor', 'OutdoorDining']",[],[],7
Cafe Snoozy,Whitefield,3.1,56,450,['7 PM'],['11 PM'],"North Indian, Chinese",['Home Delivery'],[],[],[],[],[],[],"0, 1"
Hyderabad Biryani House,Whitefield,3.4,5126,600,"['1130 AM', '630 PM']","['330 PM', '1030 PM']","Biryani, North Indian, Chinese, Hyderabadi, Andhra",['Home Delivery'],[],[],"['ChickenBiryani', 'MuttonBiryani', 'DumBiryani', 'VegBiryani', 'HyderabadiBiryani']",[],[],[],"4, 0, 1, 33, 11"
Dilli Darbar,Whitefield,3.4,530,350,['11 AM'],['11 PM'],"North Indian, Chinese, Biryani","['Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[],"0, 1, 4"
Kanti Sweets,Whitefield,NA,Not enough,200,['9 AM'],['10 PM'],Mithai,"['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[],17
Nando's,Whitefield,3.9,51024,1200,['1130 AM'],['11 PM'],"Portuguese, African","['Home Delivery', 'Wine']",[],[],"['PeriPeriChicken', 'PotatoWedges', 'Fries', 'GrilledChicken', 'ChickenBurger', 'ButterflyChicken']","['ServiceCourteousStaff', 'FriendlyStaff']",[],[],"62, 64"
Ji Hazoor,Whitefield,3.2,51543,1000,"['12 No', '7 PM']","['330 PM', '11 PM']","Mughlai, North Indian, Afghani","['Home Delivery', 'Full Bar Available', 'Live MusicValet Parking AvailableSmoking AreaBuffetOutdoor Seating']",[],[],"['MuttonCurry', 'ChickenSalad', 'EggSalad', 'ChickenSoup', 'KarelaSalad', 'KarelaChaat']","['ServiceCourteousStaff', 'CourteousService']","['Look&FeelDecor', 'Dj']","['DalMakhani', 'RoomaliMasalaPapad', 'VegPatyala', 'MurgMasalam']","18, 0, 48"
Midnight Food Point,Whitefield,2.6,5147,500,['8 PM'],['5 AM'],"North Indian, Chinese, Mughlai","['Home Delivery', 'Serves Halal']",[],[],"['ChickenTikka', 'ChickenManchurian']",[],[],[],"0, 1, 18"
Marhaba,Whitefield,2.3,5171,600,['11 AM'],['11 PM'],Arabian,['Outdoor Seating'],[],[],"['PitaBread', 'ChickenShawarmaRoll', 'MuttonBiryani', 'VegPlatter', 'ChickenTikka', 'ChickenShawarama']",[],[],[],28
Everything Stops for T,Whitefield,2.8,525,300,['1130 AM'],['10 PM'],"Desserts, Bakery","['Vegetarian Only', 'Outdoor SeatingDesserts and Bakes']",[],[],[],[],[],[],"5, 8"
Nawabi Handi,Whitefield,2.6,522,300,['11 AM'],['1030 PM'],"Biryani, Hyderabadi","['Home Delivery', 'Wallet Accepted']",[],[],[],[],[],[],"4, 33"
New Kolkata Style Famous Roll,Whitefield,NA,Not enough,200,['10 AM'],['1030 PM'],North Indian,"['Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[],0
Nutty Squirrel,Whitefield,3.8,565,300,['10 AM'],['7 PM'],"Ice Cream, Desserts","['No Home Delivery', 'Vegetarian Only', 'Desserts and BakesOutdoor Seating']",[],[],"['IceCreamSandwich', 'FilterCoffee', 'ThickShake', 'BrownieCookie']",[],[],[],"14, 5"
Owl's Kitchen,Whitefield,2.2,587,500,['6 PM'],['4 AM'],"North Indian, Chinese",['Home Delivery'],[],[],"['GulabJamun', 'RaraMurgh', 'FriedRice']",[],[],[],"0, 1"
Golden Hotel,Whitefield,NA,Not enough,200,['630 AM'],['11 PM'],"South Indian, Chinese, North Indian","['Breakfast', 'Home Delivery']",[],[],[],[],[],[],"2, 1, 0"
The Chocolate Heaven,Whitefield,3.6,573,600,['11 AM'],['930 PM'],"Italian, Bakery, Fast Food, Desserts, Beverages","['Home Delivery', 'Desserts and BakesSmoking AreaOutdoor SeatingWifi']",[],[],"['Coffee', 'HotChocolate', 'Brownie', 'OreoWaffles', 'OreoShake', 'BananaSplitWaffles']",[],[],[],"10, 8, 3, 5, 15"
BelgYum,Whitefield,4.9,51413,400,['1030 AM'],['1030 PM'],Desserts,['Outdoor SeatingDesserts and Bakes'],['Sweet tooth'],[],"['Breakfast', 'Cappuccino', 'NutellaWaffles', 'Coffee', 'HotChocolate', 'BelgiumWaffles']",['ServiceFriendlyStaff'],[],[],5
Rajdhani Thali Restaurant,Whitefield,3.6,5590,900,"['1130 AM', '730 PM']","['330 PM', '11 PM']",North Indian,"['Home Delivery', 'Vegetarian Only', 'Serves Jain Food']",[],[],"['Aamras', 'GrandThali', 'Buttermilk', 'Dhokla', 'Jal-jeera', 'Chaach']",['ServiceFriendlyStaff'],[],[],0
Oakleaf,Whitefield,3.3,522,2000,['11 AM'],['1030 PM'],"European, Italian, Continental, North Indian","['Breakfast', 'Full Bar Available', 'Outdoor SeatingWifi']",[],['Amazingfood'],[],[],[],[],"26, 10, 6, 0"
Caramel - Vivanta by Taj,Whitefield,3.4,558,1000,['7 AM'],['2 AM'],"Desserts, Bakery","['Wheelchair Accessible', 'Desserts and BakesValet Parking AvailableSmoking AreaWifiOutdoor Seating']",[],[],[],[],[],[],"5, 8"
Big chicken,Whitefield,NA,Not enough,400,['1 PM'],['11 PM'],"Arabian, Chinese, Fast Food","['Home Delivery', 'Serves Halal  \xc2\xa0', 'Outdoor Seating']",[],[],[],[],[],[],"28, 1, 3"
Cookie Man,Whitefield,2.9,519,150,['11 AM'],['1030 PM'],Bakery,"['Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[],8
