Restaurant,Location,Rating,Votes,Cost for 2,Opening Hours,Closing Hours,Cuisines,Highlights,Featured in,Known for,Favourite Food,Favourite Service,Favourite Look,Recommended Dishes
Vaibhava Sagar,Whitefield,3.2,528,200,['7 AM'],['10 PM'],"South Indian, Chinese, North Indian","['Breakfast', 'Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[]
Kesar Sweet Shop and Fast Food,Whitefield,3.9,5817,500,['730 AM'],['10 PM'],"North Indian, Street Food, South Indian","['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],['theirtraditionalIndiansweets'],"['Jalebi', 'CholeBhature', 'Kulfi', 'OnionKachori', 'Dhokla', 'Buttermilk']",[],[],[]
Biryani Pot,Whitefield,2.7,54,500,['11 AM'],['3 AM'],Biryani,"['Home Delivery', 'Seating Not Available']",[],[],[],[],[],[]
Thalassery Restaurant,Whitefield,2.6,5198,500,['1130 AM'],['1130 PM'],"North Indian, Chinese, Kerala",['Home Delivery'],[],[],"['Appam', 'KadalaCurry', 'ThalasseryBiryani', 'KarelaParatha', 'ChickenFry', 'BananaFry']",[],[],[]
Laale Da Dhaba,Whitefield,3.1,58,150,['12 No'],['11 PM'],"North Indian, Street Food",['Vegetarian Only'],[],[],[],[],[],[]
Friends Diner,Whitefield,2.4,532,700,"['1130 AM', '630 PM']","['4 PM', '11 PM']","Continental, Italian, Pizza","['Home Delivery', 'Outdoor Seating']",[],[],"['ChickenSteak', 'Cheeseballs', 'ColdCoffee']",[],[],[]
Sardaar Ji,Whitefield,3.6,528,400,['12 No'],['11 PM'],"North Indian, Chinese",['Home Delivery'],[],[],[],[],[],[]
Angaar Biriyani,Whitefield,NA,Not enough,400,['11 AM'],['11 PM'],"Biryani, Chinese, Fast Food","['Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[]
Confident Amoon,Whitefield,3,56,700,"['730 AM', '1230 PM', '7 PM']","['1030 AM', '3 PM', '10 PM']",North Indian,['Wifi'],[],[],[],[],[],[]
Nanda's Dine City,Whitefield,NA,Not enough,400,['7 AM'],['11 PM'],"South Indian, Andhra",['Home Delivery'],[],[],[],[],[],[]
Ambi's Kitchen,Whitefield,NA,Not enough,400,['7 AM'],['11 PM'],"Chettinad, South Indian","['Breakfast', 'Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[]
Mambo Jambo,Whitefield,3.3,520,200,NA,NA,Fast Food,['Home Delivery'],[],[],[],[],[],[]
La Fabrique de Tartes,Whitefield,NA,Not enough,300,['2 PM'],['6 PM'],French,"['Home Delivery', 'Seating Not Available']",[],[],[],[],[],[]
,Whitefield,NA,Not enough,NA,NA,NA,,[],[],[],[],[],[],[]
Hotel Annapurna,Whitefield,NA,Not enough,400,['10 AM'],['11 PM'],"North Indian, Andhra",[],[],[],[],[],[],[]
Baskin Robbins,Whitefield,3.4,547,300,['10 AM'],['10 PM'],Ice Cream,"['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[]
The Diner,Whitefield,2.7,5110,700,['1130 AM'],['11 PM'],"North Indian, Chinese, Andhra, Biryani",['Home Delivery'],[],[],"['MuttonBiryani', 'HyderabadiBiryani']",[],[],[]
Cream & Fudge,Whitefield,3.6,545,200,['11 AM'],['11 PM'],"Ice Cream, Desserts","['Vegetarian Only', 'Desserts and Bakes']",[],[],['Fudge'],[],[],[]
Biriyani Zone,Whitefield,3.2,54,600,"['1030 AM', '630 PM']","['330 PM', '11 PM']","Biryani, North Indian",['Home Delivery'],[],[],[],[],[],[]
New Sree Rajalakshmi Sweets,Whitefield,NA,Not enough,300,['730 AM'],['930 PM'],Fast Food,"['Takeaway Only', 'Seating Not Available', 'Vegetarian Only', 'Desserts and Bakes']",[],[],[],[],[],[]
Khader Bhai Hotel,Whitefield,NA,Not enough,300,['7 AM'],['10 PM'],North Indian,['Breakfast'],[],[],[],[],[],[]
BBCUE - Vivanta By Taj,Whitefield,3.1,55,2400,['7 PM'],['10 PM'],Continental,"['Wheelchair Accessible', 'Full Bar Available', 'Outdoor SeatingWifi']",[],[],[],[],[],[]
Mustard and Cress,Whitefield,3.8,5181,1200,"['11 AM', '7 PM']","['3 PM', '11 PM']","Mediterranean, Italian","['Full Bar Available', 'Outdoor SeatingValet Parking Available']",[],[],"['Beer', 'MintSalad', 'Lager', 'AppleFritters', 'PannaCotta', 'Tiramisu']",[],[],[]
Slounge - Lemon Tree Hotel,Whitefield,3.2,510,1500,['11 AM'],['11 PM'],Finger Food,"['Full Bar Available', 'WifiNightlife']",[],[],[],[],[],[]
Springs,Whitefield,2.6,559,700,"['12 No', '7 PM']","['330 PM', '11 PM']","Andhra, North Indian, Chinese",['Home Delivery'],[],[],['Manchurian'],[],[],[]
Noodle Bar,Whitefield,3.7,5834,1400,"['12 No', '7 PM']","['4 PM', '11 PM']",Chinese,"['Home Delivery', 'Full Bar Available']","['Pan-Asian delicacies', 'ICICI Bank Culinary Treats']",[],"['HakkaNoodle', 'ClearSoup', 'Momos', 'CrispyThreadPaneer', 'ChickenManchowSoup', 'SpringRoll']",['ServiceCourteousStaff'],[],[]
Latitude - Vivanta By Taj,Whitefield,3.7,5251,2000,['24 Ho'],[],"North Indian, Continental, Asian, Italian","['Breakfast', 'Wheelchair Accessible', 'Full Bar Available', 'Smoking AreaLive Sports ScreeningOutdoor SeatingValet Parking Available']",[],[],"['Pancakes', 'Coffee', 'Waffles', 'BreakfastBuffet', 'LunchBuffet', 'Brownie']",['Look&FeelDecor'],[],[]
Hyderabadi Dum Biriyani,Whitefield,3.2,511,300,['12 No'],['11 PM'],Biryani,"['Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[]
Food Palace,Whitefield,NA,Not enough,450,['1130 AM'],['1030 PM'],"North Indian, Chinese",['Home Delivery'],[],[],[],[],[],[]
Delhi Belli,Whitefield,2.8,54,500,['1030 AM'],['1030 PM'],North Indian,"['Home Delivery', 'Seating Not Available']",[],[],[],[],[],[]
Au Bon Pain,Whitefield,NA,Not enough,600,['9 AM'],['11 PM'],"Cafe, Bakery","['Breakfast', 'Home Delivery']",[],[],[],[],[],[]
Mega Bite,Whitefield,3.1,533,1100,"['12 No', '7 PM']","['3 PM', '11 PM']","North Indian, Chinese, South Indian, Continental","['Breakfast', 'Home Delivery', 'Wheelchair Accessible', 'Full Bar Available', 'BuffetWifi']",[],[],[],[],[],[]
Halftime,Whitefield,NA,Not enough,200,['11 AM'],['11 PM'],"North Indian, Chinese",['Home Delivery'],[],[],[],[],[],[]
We Foodie,Whitefield,NA,Not enough,300,['9 AM'],['11 PM'],"Bengali, North Indian","['Breakfast', 'Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[]
Kapoor's Cafe,Whitefield,4,52242,650,"['10 AM', '7 PM']","['3 PM', '11 PM']",North Indian,"['Home Delivery', 'Vegetarian Only', 'Outdoor SeatingZomato Fulfilled Delivery']","['Flavours of Punjab', 'Veggie friendly']",[],"['MatkaLassi', 'PunjabiParatha', 'Rabri', 'DhabaDal', 'ChawalKiKheer', 'CheeseParatha']","['ServiceCourteousStaff', 'CourteousService']",['Look&FeelDhabaFeel'],"['FruitCream', 'DryFruitLassi', 'PaneerDegchiDelliwale', 'DhabeKiDal']"
Calvin's,Whitefield,3.6,5155,800,['10 AM'],['11 PM'],"Desserts, Italian, Pizza","['Home Delivery', 'Wheelchair Accessible', 'Desserts and BakesOutdoor SeatingSmoking Area']",[],[],"['Waffles', 'SundayBrunch', 'ApplePie', 'ChickenSteak', 'OnionRings', 'MochaColdCoffee']",[],"['Look&FeelLovelyAmbience', 'Decor']",[]
Gelato Italiano,Whitefield,2.8,530,200,['11 AM'],['11 PM'],Ice Cream,"['Home Delivery', 'Seating Not Available', 'Vegetarian Only', 'Desserts and Bakes']",[],[],['Kulfi'],[],[],[]
Biggies Burger 'n' More,Whitefield,NA,Not enough,400,['1130 AM'],['1030 PM'],"Fast Food, Burger",['Smoking Area'],[],[],[],[],[],[]
Amoeba Sports Bar,Whitefield,2.9,5163,1000,['11 AM'],['11 PM'],"Continental, Chinese","['Full Bar Available', 'Nightlife']",[],[],['Cheeseballs'],[],[],[]
Only Parathas,Whitefield,2.7,527,250,['11 AM'],['11 PM'],North Indian,"['Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[]
The Fortkochi Connection,Whitefield,3.1,520,400,['11 AM'],['11 PM'],Kerala,['Outdoor Seating'],[],[],[],[],[],[]
Daily Bread,Whitefield,2.5,520,500,['9 AM'],['1030 PM'],"Bakery, Fast Food, Italian, Desserts","['Home Delivery', 'Outdoor SeatingDesserts and Bakes']",[],[],[],[],[],[]
The Village Restaurant,Whitefield,3,55,200,['12 No'],['930 PM'],"North Indian, Chinese",['Home Delivery'],[],[],[],[],[],[]
Rahmaniya Karnataka Biryani,Whitefield,NA,Not enough,200,['11 AM'],['11 PM'],"Biryani, Chinese, Mughlai",[],[],[],[],[],[],[]
Chatpata,Whitefield,NA,Not enough,450,['10 AM'],['10 PM'],"Chinese, North Indian",['Home Delivery'],[],[],[],[],[],[]
PMR Restaurant,Whitefield,NA,Not enough,300,['1130 AM'],['1130 PM'],North Indian,['Home Delivery'],[],[],[],[],[],[]
Checkered Bar - MGM Mark,Whitefield,3.1,58,1200,['11 AM'],['11 PM'],"North Indian, Continental, Chinese","['Wheelchair Accessible', 'Full Bar Available', 'NightlifeWifi']",[],[],[],[],[],[]
Hyderabad Biryani,Whitefield,2.9,517,600,"['12 No', '7 PM']","['330 PM', '1030 PM']","North Indian, Chinese, Biryani","['Home Delivery', 'Wifi']",[],[],[],[],[],[]
Marigold Fine Dine Restaurant,Whitefield,3.8,5187,1500,"['12 No', '7 PM']","['330 PM', '11 PM']","Continental, Indian, Asian","['Home Delivery', 'Wine', 'Outdoor Seating']",[],[],"['PaneerMakhani', 'ChickenChettinad', 'GulabJamun', 'ManchowSoup', 'MalabarFishCurry', 'ChickenSoup']","['ServiceCourteousService', 'FriendlyStaff']",[],[]
Ishwaryam,Whitefield,3,55,250,['7 AM'],['1030 PM'],"South Indian, Fast Food",[],[],[],[],[],[],[]
Cafe Buzzinga,Whitefield,3.7,5716,1000,['9 AM'],['11 PM'],"Cafe, Continental","['Breakfast', 'Outdoor SeatingPet FriendlySmoking AreaWallet AcceptedLive MusicValet Parking Available']",[],[],"['Breakfast', 'Pancakes', 'Omelette', 'HazelnutCoffee', 'Lemonade', 'PanCake']","['ServiceCourteousStaff', 'FriendlyStaff']","['Look&FeelDecor', 'OutdoorSeating']",[]
Sri Rajarajeshwari Andhra Mess,Whitefield,NA,Not enough,500,['7 AM'],['11 PM'],Andhra,['Home Delivery'],[],[],[],[],[],[]
Cherry on Top,Whitefield,NA,Not enough,300,['12 No'],['10 PM'],"Chinese, Fast Food",['Vegetarian Only'],[],[],[],[],[],[]
Homies,Whitefield,NA,Not enough,600,['11 AM'],['11 PM'],Chinese,[],[],[],[],[],[],[]
Mast Kalandar,Whitefield,2.1,5102,450,['12 No'],['11 PM'],North Indian,['Vegetarian Only'],[],[],"['GulabJamun', 'DalMakhani']",[],[],[]
The Biriyani Chef,Whitefield,NA,Not enough,300,['11 AM'],['11 PM'],"Biryani, Mughlai","['Delivery Only', 'Seating Not Available']",[],[],[],[],[],[]
The Beer Cafe,Whitefield,3.8,5157,1300,['11 AM'],['1230 AM'],"Finger Food, North Indian, Chinese, Italian","['Serves Non Veg', 'Full Bar Available', 'Valet Parking AvailableSmoking AreaNightlifeOutdoor Seating']",['Best bars & pubs'],[],"['Brownie', 'Nachos', 'FriedChicken', 'CornBhel', 'PotatoWedges', 'ChickenSteak']",['ServiceFriendlyStaff'],['Look&FeelOutdoorSeating'],[]
BAO & Grill,Whitefield,NA,Not enough,300,['11 AM'],['11 PM'],"Chinese, Indonesian",['Outdoor Seating'],[],[],[],[],[],[]
Amrutha Hotel,Whitefield,NA,Not enough,300,"['1130 AM', '6 PM']","['330 PM', '1030 PM']","Andhra, North Indian",['Home Delivery'],[],[],[],[],[],[]
Neerav Chinese Cuisine,Whitefield,NA,Not enough,400,['12 No'],['11 PM'],Chinese,"['Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[]
Breakfast House,Whitefield,3.5,522,300,['7 AM'],['10 PM'],"South Indian, North Indian","['Breakfast', 'Wifi']",[],[],"['Coffee', 'Breakfast']",[],[],[]
Salt - Indian Restaurant - Bar & Grill,Whitefield,4.1,5528,1500,"['12 No', '630 PM']","['330 PM', '1045 PM']",North Indian,"['Full Bar Available', 'Outdoor SeatingSmoking Area']",[],[],"['MuttonSeekhKebab', 'Tiramisu', 'Brownie', 'LimeSoda', 'FishCurry', 'TandooriChicken']","['ServiceCourteousStaff', 'FriendlyStaff']",['Look&FeelDecor'],[]
Mad Over Donuts,Whitefield,3.7,5100,250,['11 AM'],['11 PM'],Desserts,"['Home Delivery', 'Vegetarian Only', 'Desserts and Bakes']",[],[],"['ChocolateDonut', 'ChocolateDecadence', 'DoubleTrouble', 'ChocoBomb']",[],[],[]
Mani's Dum Biryani,Whitefield,NA,Not enough,750,['12 No'],['1015 PM'],Biryani,['Home Delivery'],['Brilliant biryanis'],[],[],[],[],[]
Bhojanam,Whitefield,2.5,563,800,['10 AM'],['10 PM'],"North Indian, Chinese, Andhra",['Outdoor Seating'],[],[],"['VegThali', 'Buttermilk', 'PotBiryani']",[],[],[]
Krispy Kreme,Whitefield,3.8,592,300,['9 AM'],['11 PM'],"Cafe, Desserts","['Breakfast', 'Vegetarian Only', 'Desserts and BakesOutdoor Seating']",[],[],"['Coffee', 'ChocolateDonut']",[],[],[]
Behrouz Biryani,Whitefield,3.5,560,600,['11 AM'],['11 PM'],Biryani,"['Delivery Only', 'Seating Not Available', 'Serves Halal']",[],['FreshIngredients'],"['BasmatiRice', 'PaneerBiryani']",[],[],[]
Ambur Hot Dum Biryani,Whitefield,NA,Not enough,250,['11 AM'],['11 PM'],Biryani,[],[],[],[],[],[],[]
Poha Junction,Whitefield,3.3,520,100,NA,NA,Street Food,"['Breakfast', 'Delivery Only', 'Seating Not Available', 'All Day Breakfast']",[],[],[],[],[],[]
Cafe Coffee Day,Whitefield,NA,Not enough,450,['10 AM'],['11 PM'],Cafe,['Restricted Entry'],[],[],[],[],[],[]
Ande Ka Funda,Whitefield,2.9,56,200,['8 AM'],['11 PM'],"Fast Food, North Indian","['Breakfast', 'Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[]
M Bar - Bengaluru Marriott Hotel Whitefield,Whitefield,3.3,551,2000,['10 AM'],['11 PM'],Finger Food,"['Wheelchair Accessible', 'Full Bar Available', '4/5 StarWifiNightlife']",[],[],[],[],[],[]
Bangalore Mandarin,Whitefield,4,5146,1100,"['12 No', '7 PM']","['330 PM', '11 PM']",Chinese,"['Home Delivery', 'Valet Parking Available']",[],[],"['KungPaoChicken', 'ClearSoup', 'ChickenSoup', 'MixedFriedRice', 'MustardChicken', 'CrispyNoodle']",[],[],[]
By The Way,Whitefield,3.5,5280,600,"['12 No', '7 PM']","['330 PM', '11 PM']","North Indian, Chinese, Italian","['Home Delivery', 'Wheelchair Accessible', 'Serves Halal  \xc2\xa0', 'Wallet AcceptedSmoking AreaBuffet']",[],[],"['ManchowSoup', 'ChickenBiryani', 'ButterChicken', 'DalMakhani', 'ChickenCurry', 'PaneerMakhanwala']",[],"['Look&FeelElegantDecor', 'PeacefulEnvironment']","['ButterChicken', 'PaneerMakhanwala']"
Me And My Cake,Whitefield,NA,Not enough,500,['24 Ho'],[],"Bakery, Desserts","['Takeaway Only', 'Seating Not Available', 'Desserts and Bakes']",[],[],[],[],[],[]
The Square Table,Whitefield,3.5,543,1000,"['12 No', '7 PM']","['330 PM', '11 PM']","North Indian, Maharashtrian, South Indian",['Home Delivery'],[],[],"['DalMakhani', 'Samosa']",[],[],[]
Hunan Express,Whitefield,3.3,531,550,['11 AM'],['11 PM'],Chinese,"['Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[]
Flavours of South,Whitefield,NA,Not enough,300,['11 AM'],['11 PM'],South Indian,['Outdoor Seating'],[],[],[],[],[],[]
Sweet Nothings Couture Cupcakes,Whitefield,NA,Not enough,250,['11 AM'],['9 PM'],Desserts,"['Home Delivery', 'Seating Not Available', 'Desserts and Bakes']",[],[],[],[],[],[]
The Ants Cafe & Store,Whitefield,3.8,554,800,['9 AM'],['830 PM'],Cafe,"['Breakfast', 'Home Delivery']",[],[],"['ScrambledEggs', 'Waffles', 'Bruschettas']",[],[],[]
Cafe Palmyra,Whitefield,3.9,5104,1500,['24 Ho'],[],"Chinese, North Indian, Continental","['Full Bar Available', 'Outdoor SeatingSmoking Area']",['Sunday brunches'],[],['SundayBrunch'],[],[],[]
Southern Chillies,Whitefield,3.4,523,300,"['1130 AM', '630 PM']","['430 PM', '1130 PM']",Andhra,['Home Delivery'],[],[],[],[],[],[]
Samarun Biryani Restaurant,Whitefield,NA,Not enough,600,['11 AM'],['11 PM'],"North Indian, Chinese",['Home Delivery'],[],[],[],[],[],[]
The Grilled & Fried,Whitefield,3.1,54,300,['11 AM'],['11 PM'],Fast Food,[],[],[],[],[],[],[]
Imperio Restaurant,Whitefield,2.7,5111,700,['12 No'],['11 PM'],"North Indian, Chinese","['Home Delivery', 'Serves Non Veg', 'Valet Parking AvailableWallet Accepted']",[],[],"['AlooParatha', 'ButterChicken', 'ChickenBiryani']",[],[],[]
Nagas,Whitefield,2.4,542,500,['1130 AM'],['1030 PM'],"Andhra, South Indian, Hyderabadi",[],[],[],['GulabJamun'],[],[],[]
Kolkata New Style Famous Kati Roll,Whitefield,NA,Not enough,120,['11 AM'],['10 PM'],Street Food,['Outdoor Seating'],[],[],[],[],[],[]
Rajgarh,Whitefield,NA,Not enough,1200,['7 PM'],['11 PM'],"North Indian, South Indian",[],[],[],[],[],[],[]
The Punjabi Park,Whitefield,3.2,514,500,['12 No'],['11 PM'],North Indian,"['Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[]
Mr Iyer's,Whitefield,2.9,513,300,['9 AM'],['9 PM'],"South Indian, Chinese",['Vegetarian Only'],[],[],[],[],[],[]
Imperials House,Whitefield,NA,Not enough,300,['11 AM'],['11 PM'],"Andhra, Chinese, North Indian",['Home Delivery'],[],[],[],[],[],[]
,Whitefield,NA,Not enough,NA,NA,NA,,[],[],[],[],[],[],[]
LG Park Restaurant,Whitefield,NA,Not enough,500,['1130 AM'],['11 PM'],"North Indian, South Indian","['Home Delivery', 'Wifi']",[],[],[],[],[],[]
Malabar Mini Restaurant,Whitefield,NA,Not enough,400,['7 AM'],['11 PM'],"Kerala, South Indian, Chinese","['Breakfast', 'Home Delivery']",[],[],[],[],[],[]
Punjabi by Nature,Whitefield,3.4,51049,2000,['12 No'],['11 PM'],North Indian,"['Home Delivery', 'Full Bar Available', 'WifiBuffetValet Parking Available']",['Microbreweries'],[],"['Jalebi', 'WheatBeer', 'Rabri', 'ButterChicken', 'Kheer', 'TandooriPaneer']",['ServiceFriendlyStaff'],"['Look&FeelLovelyAmbience', 'Decor']",[]
Andhra Kafe,Whitefield,3.2,539,500,['11 AM'],['11 PM'],Andhra,[],[],[],"['ChickenBiryani', 'ChilliChicken']",[],[],[]
24 Parganas,Whitefield,2.8,59,400,['11 AM'],['11 PM'],Bengali,"['Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[]
La Mirch,Whitefield,NA,Not enough,400,['24 Ho'],[],North Indian,"['Breakfast', 'Delivery Only', 'Seating Not Available']",[],[],[],[],[],[]
Warm Oven,Whitefield,4.4,5562,350,['8 AM'],['12 Mi'],Bakery,"['Delivery Only', 'Seating Not Available', 'Desserts and Bakes']",['Just delivery'],[],"['Cupcake', 'EgglessCake', 'ChocolateCreamCake', 'PhotoCake', 'FruitCake', 'ChocolateTruffleCake']",[],[],[]
Office Lunch Box,Whitefield,3.5,522,300,"['11 AM', '6 PM']","['3 PM', '10 PM']","Andhra, North Indian","['Delivery Only', 'Seating Not Available', 'Table booking not available']",[],[],[],[],[],[]
Chatori Katori,Whitefield,2.9,58,300,['10 AM'],['10 PM'],North Indian,['Outdoor Seating'],[],[],[],[],[],[]
Delhi Restaurant,Whitefield,3.2,5145,350,"['11 AM', '7 PM']","['4 PM', '11 PM']","North Indian, Mughlai, Chinese",['Home Delivery'],[],[],"['DalMakhani', 'DalTadka', 'ChickenBiryani', 'PaneerButterMasala']",[],[],[]
Punjabi Kitchen,Whitefield,2.9,5110,400,"['11 AM', '7 PM']","['4 PM', '11 PM']","Chinese, North Indian",['Home Delivery'],[],[],"['ChickenBiryani', 'ButterChicken', 'Lassi', 'ShawarmaRoll']",[],[],[]
Real Ambur Dum Biryani,Whitefield,NA,Not enough,250,['11 AM'],['11 PM'],"Biryani, Fast Food",['Home Delivery'],[],[],[],[],[],[]
Paramount Restaurant,Whitefield,2.8,510,450,['11 AM'],['11 PM'],"North Indian, Seafood",['Home Delivery'],[],[],[],[],[],[]
Green Hyderabad Biryani House,Whitefield,3.5,532,500,"['1130 AM', '7 PM']","['4 PM', '11 PM']","South Indian, North Indian, Chinese, Biryani",['Home Delivery'],[],[],"['MuttonBiryani', 'HyderabadiChickenBiryani']",[],[],[]
Shahi Darbar,Whitefield,NA,Not enough,500,['11 AM'],['11 PM'],"North Indian, Chinese",['Home Delivery'],[],[],[],[],[],[]
Snack Itt,Whitefield,NA,Not enough,200,['9 AM'],['9 PM'],Bakery,"['Home Delivery', 'Pre-Ordering RequiredDesserts and BakesHome Baker']",[],[],[],[],[],[]
New Udupi Delicacy,Whitefield,2.9,519,250,['7 AM'],['1030 PM'],"Chinese, Indian, North Indian, South Indian",['Breakfast'],[],[],[],[],[],[]
4700BC Popcorn,Whitefield,3.4,522,400,['12 No'],['8 PM'],Fast Food,"['Home Delivery', 'Seating Not Available']",[],[],[],[],[],[]
The Paramount,Whitefield,2.5,527,350,['11 AM'],['11 PM'],North Indian,[],[],[],[],[],[],[]
Shree Alva's Delicacy,Whitefield,NA,Not enough,400,['630 AM'],['1030 PM'],"South Indian, North Indian, Chinese","['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[]
Delhi Mahal,Whitefield,2.8,544,300,"['11 AM', '7 PM']","['4 PM', '11 PM']","North Indian, Mughlai",['Home Delivery'],[],[],[],[],[],[]
Shreyas Veg,Whitefield,NA,Not enough,200,['7 AM'],['10 PM'],South Indian,"['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[]
iTiffin,Whitefield,2.7,518,200,['9 AM'],['6 PM'],Healthy Food,"['Breakfast', 'Home Delivery', 'Slot Based DeliveryVariable MenuMeal Boxes Available']",[],[],[],[],[],[]
Behrouz Biryani,Whitefield,3.3,531,600,['11 AM'],['11 PM'],Biryani,"['Delivery Only', 'Seating Not Available', 'Serves Halal']",[],[],[],[],[],[]
Cafe Toscano,Whitefield,3.2,536,800,['11 AM'],['1030 PM'],Continental,['WifiOutdoor Seating'],[],[],[],[],[],[]
Panky's Kitchen,Whitefield,NA,Not enough,400,['11 AM'],['11 PM'],North Indian,"['Home Delivery', 'Vegetarian Only']",[],[],[],[],[],[]
Harry's Bar + Cafe,Whitefield,3.9,5689,1400,['12 No'],['1 AM'],Finger Food,"['Home Delivery', 'Wheelchair Accessible', 'Full Bar Available', 'Live MusicSmoking AreaLive Sports ScreeningValet Parking AvailableNightlife']",[],[],"['Beer', 'LongIslandIcedTea', 'ChickenSatay', 'Sangria', 'ChickenWings', 'Margarita']","['ServiceCourteousStaff', 'FriendlyStaff']","['Look&FeelDecor', 'OutdoorSeating']",[]
Star Restaurant,Whitefield,NA,Not enough,250,['11 AM'],['1030 PM'],"South Indian, North Indian, Chinese",['Home Delivery'],[],[],[],[],[],[]
Faasos,Whitefield,3.2,54,500,['11 AM'],['1 AM'],"Fast Food, North Indian",['Home Delivery'],[],[],[],[],[],[]
Hunger Zone,Whitefield,NA,Not enough,350,['10 AM'],['10 PM'],"North Indian, Chinese","['Home Delivery', 'Outdoor Seating']",[],[],[],[],[],[]
Tandoore Park,Whitefield,NA,Not enough,400,"['12 No', '6 PM']","['4 PM', '11 PM']","North Indian, Chinese",['Home Delivery'],[],[],[],[],[],[]
Daddu's,Whitefield,3.1,515,300,['9 AM'],['9 PM'],Fast Food,[],[],[],[],[],[],[]
New Suruchi Hotel,Whitefield,NA,Not enough,200,['830 AM'],['1030 PM'],"Bengali, North Indian","['Breakfast', 'Home Delivery']",[],[],[],[],[],[]
The Terrace at Windmills Craftworks,Whitefield,3.9,5262,1800,"['12 No', '7 PM']","['3 PM', '11 PM']",North Indian,"['Wheelchair Accessible', 'Full Bar Available', 'RooftopValet Parking AvailableSmoking AreaWifiOutdoor Seating']",[],[],"['PorkChops', 'MangoLassi', 'MatkaKulfi', 'LunchBuffet', 'WheatBeer', 'GalautiKebab']",[],"['Look&FeelDecor', 'RooftopAmbience']",[]
Rafoo Chakkar,Whitefield,3.6,5321,300,"['1030 AM', '5 PM']","['3 PM', '1030 PM']","North Indian, Indian","['Home Delivery', 'Self ServiceZomato Fulfilled DeliveryOutdoor Seating']",['Pocket friendly'],[],"['KeemaParatha', 'KeemaPav', 'ButterChicken', 'PavBhaji', 'StuffedParatha', 'DalFry']",['ServiceFriendlyStaff'],[],"['PaneerTikka', 'ButterChicken', 'RoastedChicken', 'KeemaPao']"
Oliver's Pub & Diner,Whitefield,3.8,5419,800,['11 AM'],['1130 PM'],"Pizza, Italian","['Home Delivery', 'Full Bar Available', 'NightlifeOutdoor Seating']",['Pocket friendly bars'],[],"['Beer', 'VegBurger', 'CorianderSoup', 'MooBurger', 'SpinachPizza', 'PepperChicken']",['ServiceFriendlyStaff'],['Look&FeelOutdoorSeating'],[]
YummTumm,Whitefield,NA,Not enough,250,['11 AM'],['6 PM'],Bakery,"['Home Delivery', 'Seating Not Available', 'Desserts and Bakes']",[],[],[],[],[],[]
Hyderabadi Dum Biryani,Whitefield,3.1,58,300,['12 No'],['1130 PM'],Biryani,[],[],[],[],[],[],[]
Mojo Bites,Whitefield,NA,Not enough,250,['430 PM'],['1030 PM'],Fast Food,"['Vegetarian Only', 'Desserts and BakesWallet Accepted']",[],[],[],[],[],[]
Kunsal Chinese Cafe,Whitefield,NA,Not enough,150,['9 AM'],['9 PM'],Chinese,[],[],[],[],[],[],[]
Red Glow,Whitefield,3.1,54,1200,['11 AM'],['11 PM'],"North Indian, Continental","['Full Bar Available', 'Smoking AreaNightlifeOutdoor Seating']",[],[],[],[],[],[]
Chatpata India,Whitefield,3.2,55,400,['11 AM'],['11 PM'],North Indian,"['Vegetarian Only', 'Outdoor Seating']",[],[],[],[],[],[]
Biryani & Kabab,Whitefield,NA,Not enough,150,['11 AM'],['11 PM'],Biryani,[],[],[],[],[],[],[]
Estia - Aloft Hotel,Whitefield,3.5,548,1600,['7 PM'],['1130 PM'],Mediterranean,"['Full Bar Available', '4/5 StarWifi']",[],[],[],[],[],[]
Hunger Bust,Whitefield,3.2,520,600,['11 AM'],['11 PM'],"North Indian, Chinese, Continental","['Delivery Only', 'Seating Not Available']",[],[],[],[],[],[]
Haagen Dazs,Whitefield,3.4,564,800,['11 AM'],['1130 PM'],"Desserts, Ice Cream","['Home Delivery', 'Outdoor SeatingDesserts and BakesWifi']",[],[],"['HotChocolate', 'Waffles', 'Coffee', 'BelgianChocolate']",[],[],[]
Kalmane Koffees,Whitefield,3.6,591,350,['930 AM'],['10 PM'],Cafe,[],[],[],"['FilterCoffee', 'Muffins', 'ChocolateMuffin', 'BlueberryMuffin', 'Samosa', 'Brownie']",[],[],[]
Srinidhi Sagar,Whitefield,3.4,533,300,['630 AM'],['11 PM'],"South Indian, Chinese, North Indian","['Breakfast', 'Vegetarian Only']",[],[],[],[],[],[]
